"participant","age_group","age_continuous","zoom","gender","race","story_order_wagon","trial","trial_order_dada","valence_neg","condition_disagree_c","condition_disagree","ambiguous_yes"
99,11,11.36388889,1,"Girl","Asian",-1,"trial 4",-1,1,"Agreement Trials",0,0
100,11,11.57222222,1,"Boy","Asian",-1,"trial 4",1,1,"Disagreement Trials",1,1
1,7,7.436111111,1,"Girl","Asian",1,"trial 5",-1,-1,"Agreement Trials",0,0
2,7,7.838888889,1,"Girl","Asian",1,"trial 5",-1,-1,"Agreement Trials",0,0
3,7,7.130555556,1,"Boy","Mixed",1,"trial 5",1,-1,"Disagreement Trials",1,1
4,7,7.886111111,1,"Boy","White",1,"trial 5",1,-1,"Disagreement Trials",1,0
5,7,7.113888889,1,"Boy","White",-1,"trial 5",-1,-1,"Agreement Trials",0,0
6,7,7.738888889,1,"Boy","Asian",-1,"trial 5",1,-1,"Disagreement Trials",1,0
7,7,7.244444444,1,"Boy","White",1,"trial 5",-1,1,"Agreement Trials",0,0
8,7,7.616666667,1,"Girl","White",1,"trial 5",-1,1,"Agreement Trials",0,0
9,7,7.847222222,1,"Boy","Latinx",1,"trial 5",1,1,"Disagreement Trials",1,1
10,7,7.197222222,1,"Boy","Mixed",1,"trial 5",1,1,"Disagreement Trials",1,0
11,7,7.222222222,1,"Boy","White",-1,"trial 5",-1,1,"Agreement Trials",0,0
12,7,7.086111111,1,"Girl","Asian",-1,"trial 5",1,1,"Disagreement Trials",1,1
25,8,8.688888889,1,"Girl","Latinx",1,"trial 5",-1,-1,"Agreement Trials",0,0
26,8,8.338888889,1,"Boy","Asian",1,"trial 5",1,-1,"Disagreement Trials",1,0
27,8,8.547222222,1,"Boy","Asian",-1,"trial 5",-1,-1,"Agreement Trials",0,0
28,8,8.561111111,1,"Girl","Latinx",-1,"trial 5",-1,-1,"Agreement Trials",0,0
29,8,8.330555556,1,"Boy","White",-1,"trial 5",1,-1,"Disagreement Trials",1,1
30,8,8.341666667,1,"Boy","White",-1,"trial 5",1,-1,"Disagreement Trials",1,1
31,8,8.758333333,1,"Girl","White",1,"trial 5",-1,1,"Agreement Trials",0,0
32,8,8.358333333,1,"Boy","Mixed",1,"trial 5",-1,1,"Agreement Trials",0,1
33,8,8.844444444,1,"Boy","Asian",1,"trial 5",1,1,"Disagreement Trials",1,1
34,8,8.541666667,1,"Girl","Latinx",-1,"trial 5",-1,1,"Agreement Trials",0,0
35,8,8.577777778,1,"Boy","Mixed",-1,"trial 5",-1,1,"Agreement Trials",0,0
36,8,8.205555556,1,"Girl","White",-1,"trial 5",1,1,"Disagreement Trials",1,1
47,9,9.444444444,1,"Girl","Mixed",1,"trial 5",-1,-1,"Agreement Trials",0,0
48,9,9.561111111,1,"Boy","Mixed",1,"trial 5",-1,-1,"Agreement Trials",0,0
49,9,9.494444444,1,"Girl","Mixed",1,"trial 5",1,-1,"Disagreement Trials",1,1
50,9,9.5,1,"Girl","Asian",-1,"trial 5",-1,-1,"Agreement Trials",0,0
51,9,9.813888889,1,"Girl","Latinx",-1,"trial 5",-1,-1,"Agreement Trials",0,0
52,9,9.605555556,1,"Boy","White",-1,"trial 5",1,-1,"Disagreement Trials",1,1
53,9,9.766666667,1,"Girl","Black",1,"trial 5",-1,1,"Agreement Trials",0,0
54,9,9.275,1,"Boy","Mixed",1,"trial 5",-1,1,"Agreement Trials",0,0
55,9,9.736111111,1,"Girl","White",1,"trial 5",1,1,"Disagreement Trials",1,1
56,9,9.561111111,1,"Boy","Latinx",1,"trial 5",1,1,"Disagreement Trials",1,0
57,9,9.872222222,1,"Girl","Asian",-1,"trial 5",-1,1,"Agreement Trials",0,0
58,9,9.783333333,1,"Girl","White",-1,"trial 5",1,1,"Disagreement Trials",1,0
71,10,10.37222222,0,"Girl","Asian",1,"trial 5",-1,-1,"Agreement Trials",0,0
72,10,10.74166667,0,"Girl","Asian",1,"trial 5",1,-1,"Disagreement Trials",1,1
73,10,10.40555556,1,"Boy","Asian",-1,"trial 5",-1,-1,"Agreement Trials",0,0
74,10,10.40555556,1,"Girl","Asian",-1,"trial 5",1,-1,"Disagreement Trials",1,1
75,10,10.93888889,1,"Girl","Asian",1,"trial 5",-1,1,"Agreement Trials",0,0
76,10,10.93611111,1,"Boy","Asian",1,"trial 5",1,1,"Disagreement Trials",1,1
77,10,10.16388889,1,"Boy","Black",-1,"trial 5",-1,1,"Agreement Trials",0,0
78,10,10.19166667,1,"Boy","White",-1,"trial 5",-1,1,"Agreement Trials",0,0
79,10,10.95555556,1,"Boy","White",-1,"trial 5",1,1,"Disagreement Trials",1,1
80,10,10.18611111,1,"Boy","White",-1,"trial 5",1,1,"Disagreement Trials",1,1
91,11,11.83055556,1,"Boy","White",1,"trial 5",-1,-1,"Agreement Trials",0,0
92,11,11.13333333,1,"Boy","White",1,"trial 5",-1,-1,"Agreement Trials",0,0
93,11,11.075,1,"Girl","Asian",1,"trial 5",1,-1,"Disagreement Trials",1,1
94,11,11.01111111,1,"Boy","Asian",1,"trial 5",1,-1,"Disagreement Trials",1,0
95,11,11.16944444,1,"Girl","Latinx",-1,"trial 5",-1,-1,"Agreement Trials",0,0
96,11,11.40833333,1,"Girl","Mixed",-1,"trial 5",1,-1,"Disagreement Trials",1,1
97,11,11.57222222,1,"Girl","White",1,"trial 5",-1,1,"Agreement Trials",0,0
98,11,11.77777778,1,"Girl","Latinx",1,"trial 5",1,1,"Disagreement Trials",1,0
99,11,11.36388889,1,"Girl","Asian",-1,"trial 5",-1,1,"Agreement Trials",0,0
100,11,11.57222222,1,"Boy","Asian",-1,"trial 5",1,1,"Disagreement Trials",1,0
1,7,7.436111111,1,"Girl","Asian",1,"trial 6",-1,-1,"Disagreement Trials",1,1
2,7,7.838888889,1,"Girl","Asian",1,"trial 6",-1,-1,"Disagreement Trials",1,0
3,7,7.130555556,1,"Boy","Mixed",1,"trial 6",1,-1,"Agreement Trials",0,0
4,7,7.886111111,1,"Boy","White",1,"trial 6",1,-1,"Agreement Trials",0,0
5,7,7.113888889,1,"Boy","White",-1,"trial 6",-1,-1,"Disagreement Trials",1,1
6,7,7.738888889,1,"Boy","Asian",-1,"trial 6",1,-1,"Agreement Trials",0,1
7,7,7.244444444,1,"Boy","White",1,"trial 6",-1,1,"Disagreement Trials",1,1
8,7,7.616666667,1,"Girl","White",1,"trial 6",-1,1,"Disagreement Trials",1,0
9,7,7.847222222,1,"Boy","Latinx",1,"trial 6",1,1,"Agreement Trials",0,0
10,7,7.197222222,1,"Boy","Mixed",1,"trial 6",1,1,"Agreement Trials",0,0
11,7,7.222222222,1,"Boy","White",-1,"trial 6",-1,1,"Disagreement Trials",1,0
12,7,7.086111111,1,"Girl","Asian",-1,"trial 6",1,1,"Agreement Trials",0,0
25,8,8.688888889,1,"Girl","Latinx",1,"trial 6",-1,-1,"Disagreement Trials",1,1
26,8,8.338888889,1,"Boy","Asian",1,"trial 6",1,-1,"Agreement Trials",0,0
27,8,8.547222222,1,"Boy","Asian",-1,"trial 6",-1,-1,"Disagreement Trials",1,1
28,8,8.561111111,1,"Girl","Latinx",-1,"trial 6",-1,-1,"Disagreement Trials",1,1
29,8,8.330555556,1,"Boy","White",-1,"trial 6",1,-1,"Agreement Trials",0,1
30,8,8.341666667,1,"Boy","White",-1,"trial 6",1,-1,"Agreement Trials",0,0
31,8,8.758333333,1,"Girl","White",1,"trial 6",-1,1,"Disagreement Trials",1,1
32,8,8.358333333,1,"Boy","Mixed",1,"trial 6",-1,1,"Disagreement Trials",1,0
33,8,8.844444444,1,"Boy","Asian",1,"trial 6",1,1,"Agreement Trials",0,0
34,8,8.541666667,1,"Girl","Latinx",-1,"trial 6",-1,1,"Disagreement Trials",1,0
35,8,8.577777778,1,"Boy","Mixed",-1,"trial 6",-1,1,"Disagreement Trials",1,1
36,8,8.205555556,1,"Girl","White",-1,"trial 6",1,1,"Agreement Trials",0,0
47,9,9.444444444,1,"Girl","Mixed",1,"trial 6",-1,-1,"Disagreement Trials",1,1
48,9,9.561111111,1,"Boy","Mixed",1,"trial 6",-1,-1,"Disagreement Trials",1,1
49,9,9.494444444,1,"Girl","Mixed",1,"trial 6",1,-1,"Agreement Trials",0,0
50,9,9.5,1,"Girl","Asian",-1,"trial 6",-1,-1,"Disagreement Trials",1,1
51,9,9.813888889,1,"Girl","Latinx",-1,"trial 6",-1,-1,"Disagreement Trials",1,1
52,9,9.605555556,1,"Boy","White",-1,"trial 6",1,-1,"Agreement Trials",0,0
53,9,9.766666667,1,"Girl","Black",1,"trial 6",-1,1,"Disagreement Trials",1,0
54,9,9.275,1,"Boy","Mixed",1,"trial 6",-1,1,"Disagreement Trials",1,1
55,9,9.736111111,1,"Girl","White",1,"trial 6",1,1,"Agreement Trials",0,0
56,9,9.561111111,1,"Boy","Latinx",1,"trial 6",1,1,"Agreement Trials",0,1
57,9,9.872222222,1,"Girl","Asian",-1,"trial 6",-1,1,"Disagreement Trials",1,1
58,9,9.783333333,1,"Girl","White",-1,"trial 6",1,1,"Agreement Trials",0,0
71,10,10.37222222,0,"Girl","Asian",1,"trial 6",-1,-1,"Disagreement Trials",1,1
72,10,10.74166667,0,"Girl","Asian",1,"trial 6",1,-1,"Agreement Trials",0,0
73,10,10.40555556,1,"Boy","Asian",-1,"trial 6",-1,-1,"Disagreement Trials",1,1
74,10,10.40555556,1,"Girl","Asian",-1,"trial 6",1,-1,"Agreement Trials",0,0
75,10,10.93888889,1,"Girl","Asian",1,"trial 6",-1,1,"Disagreement Trials",1,1
76,10,10.93611111,1,"Boy","Asian",1,"trial 6",1,1,"Agreement Trials",0,0
77,10,10.16388889,1,"Boy","Black",-1,"trial 6",-1,1,"Disagreement Trials",1,1
78,10,10.19166667,1,"Boy","White",-1,"trial 6",-1,1,"Disagreement Trials",1,0
79,10,10.95555556,1,"Boy","White",-1,"trial 6",1,1,"Agreement Trials",0,0
80,10,10.18611111,1,"Boy","White",-1,"trial 6",1,1,"Agreement Trials",0,0
91,11,11.83055556,1,"Boy","White",1,"trial 6",-1,-1,"Disagreement Trials",1,1
92,11,11.13333333,1,"Boy","White",1,"trial 6",-1,-1,"Disagreement Trials",1,1
93,11,11.075,1,"Girl","Asian",1,"trial 6",1,-1,"Agreement Trials",0,0
94,11,11.01111111,1,"Boy","Asian",1,"trial 6",1,-1,"Agreement Trials",0,0
95,11,11.16944444,1,"Girl","Latinx",-1,"trial 6",-1,-1,"Disagreement Trials",1,1
96,11,11.40833333,1,"Girl","Mixed",-1,"trial 6",1,-1,"Agreement Trials",0,0
97,11,11.57222222,1,"Girl","White",1,"trial 6",-1,1,"Disagreement Trials",1,1
98,11,11.77777778,1,"Girl","Latinx",1,"trial 6",1,1,"Agreement Trials",0,0
99,11,11.36388889,1,"Girl","Asian",-1,"trial 6",-1,1,"Disagreement Trials",1,1
100,11,11.57222222,1,"Boy","Asian",-1,"trial 6",1,1,"Agreement Trials",0,0
1,7,7.436111111,1,"Girl","Asian",1,"trial 7",-1,-1,"Disagreement Trials",1,0
2,7,7.838888889,1,"Girl","Asian",1,"trial 7",-1,-1,"Disagreement Trials",1,0
3,7,7.130555556,1,"Boy","Mixed",1,"trial 7",1,-1,"Agreement Trials",0,1
4,7,7.886111111,1,"Boy","White",1,"trial 7",1,-1,"Agreement Trials",0,0
5,7,7.113888889,1,"Boy","White",-1,"trial 7",-1,-1,"Disagreement Trials",1,1
6,7,7.738888889,1,"Boy","Asian",-1,"trial 7",1,-1,"Agreement Trials",0,0
7,7,7.244444444,1,"Boy","White",1,"trial 7",-1,1,"Disagreement Trials",1,0
8,7,7.616666667,1,"Girl","White",1,"trial 7",-1,1,"Disagreement Trials",1,0
9,7,7.847222222,1,"Boy","Latinx",1,"trial 7",1,1,"Agreement Trials",0,0
10,7,7.197222222,1,"Boy","Mixed",1,"trial 7",1,1,"Agreement Trials",0,0
11,7,7.222222222,1,"Boy","White",-1,"trial 7",-1,1,"Disagreement Trials",1,1
12,7,7.086111111,1,"Girl","Asian",-1,"trial 7",1,1,"Agreement Trials",0,0
25,8,8.688888889,1,"Girl","Latinx",1,"trial 7",-1,-1,"Disagreement Trials",1,1
26,8,8.338888889,1,"Boy","Asian",1,"trial 7",1,-1,"Agreement Trials",0,0
27,8,8.547222222,1,"Boy","Asian",-1,"trial 7",-1,-1,"Disagreement Trials",1,1
28,8,8.561111111,1,"Girl","Latinx",-1,"trial 7",-1,-1,"Disagreement Trials",1,1
29,8,8.330555556,1,"Boy","White",-1,"trial 7",1,-1,"Agreement Trials",0,0
30,8,8.341666667,1,"Boy","White",-1,"trial 7",1,-1,"Agreement Trials",0,0
31,8,8.758333333,1,"Girl","White",1,"trial 7",-1,1,"Disagreement Trials",1,1
32,8,8.358333333,1,"Boy","Mixed",1,"trial 7",-1,1,"Disagreement Trials",1,1
33,8,8.844444444,1,"Boy","Asian",1,"trial 7",1,1,"Agreement Trials",0,0
34,8,8.541666667,1,"Girl","Latinx",-1,"trial 7",-1,1,"Disagreement Trials",1,0
35,8,8.577777778,1,"Boy","Mixed",-1,"trial 7",-1,1,"Disagreement Trials",1,1
36,8,8.205555556,1,"Girl","White",-1,"trial 7",1,1,"Agreement Trials",0,0
47,9,9.444444444,1,"Girl","Mixed",1,"trial 7",-1,-1,"Disagreement Trials",1,1
48,9,9.561111111,1,"Boy","Mixed",1,"trial 7",-1,-1,"Disagreement Trials",1,1
49,9,9.494444444,1,"Girl","Mixed",1,"trial 7",1,-1,"Agreement Trials",0,0
50,9,9.5,1,"Girl","Asian",-1,"trial 7",-1,-1,"Disagreement Trials",1,1
51,9,9.813888889,1,"Girl","Latinx",-1,"trial 7",-1,-1,"Disagreement Trials",1,0
52,9,9.605555556,1,"Boy","White",-1,"trial 7",1,-1,"Agreement Trials",0,0
53,9,9.766666667,1,"Girl","Black",1,"trial 7",-1,1,"Disagreement Trials",1,0
54,9,9.275,1,"Boy","Mixed",1,"trial 7",-1,1,"Disagreement Trials",1,1
55,9,9.736111111,1,"Girl","White",1,"trial 7",1,1,"Agreement Trials",0,0
56,9,9.561111111,1,"Boy","Latinx",1,"trial 7",1,1,"Agreement Trials",0,0
57,9,9.872222222,1,"Girl","Asian",-1,"trial 7",-1,1,"Disagreement Trials",1,1
58,9,9.783333333,1,"Girl","White",-1,"trial 7",1,1,"Agreement Trials",0,0
71,10,10.37222222,0,"Girl","Asian",1,"trial 7",-1,-1,"Disagreement Trials",1,1
72,10,10.74166667,0,"Girl","Asian",1,"trial 7",1,-1,"Agreement Trials",0,0
73,10,10.40555556,1,"Boy","Asian",-1,"trial 7",-1,-1,"Disagreement Trials",1,1
74,10,10.40555556,1,"Girl","Asian",-1,"trial 7",1,-1,"Agreement Trials",0,0
75,10,10.93888889,1,"Girl","Asian",1,"trial 7",-1,1,"Disagreement Trials",1,1
76,10,10.93611111,1,"Boy","Asian",1,"trial 7",1,1,"Agreement Trials",0,0
77,10,10.16388889,1,"Boy","Black",-1,"trial 7",-1,1,"Disagreement Trials",1,0
78,10,10.19166667,1,"Boy","White",-1,"trial 7",-1,1,"Disagreement Trials",1,1
79,10,10.95555556,1,"Boy","White",-1,"trial 7",1,1,"Agreement Trials",0,0
80,10,10.18611111,1,"Boy","White",-1,"trial 7",1,1,"Agreement Trials",0,0
91,11,11.83055556,1,"Boy","White",1,"trial 7",-1,-1,"Disagreement Trials",1,1
92,11,11.13333333,1,"Boy","White",1,"trial 7",-1,-1,"Disagreement Trials",1,1
93,11,11.075,1,"Girl","Asian",1,"trial 7",1,-1,"Agreement Trials",0,0
94,11,11.01111111,1,"Boy","Asian",1,"trial 7",1,-1,"Agreement Trials",0,0
95,11,11.16944444,1,"Girl","Latinx",-1,"trial 7",-1,-1,"Disagreement Trials",1,1
96,11,11.40833333,1,"Girl","Mixed",-1,"trial 7",1,-1,"Agreement Trials",0,0
97,11,11.57222222,1,"Girl","White",1,"trial 7",-1,1,"Disagreement Trials",1,0
98,11,11.77777778,1,"Girl","Latinx",1,"trial 7",1,1,"Agreement Trials",0,0
99,11,11.36388889,1,"Girl","Asian",-1,"trial 7",-1,1,"Disagreement Trials",1,1
100,11,11.57222222,1,"Boy","Asian",-1,"trial 7",1,1,"Agreement Trials",0,0
1,7,7.436111111,1,"Girl","Asian",1,"trial 8",-1,-1,"Agreement Trials",0,1
2,7,7.838888889,1,"Girl","Asian",1,"trial 8",-1,-1,"Agreement Trials",0,0
3,7,7.130555556,1,"Boy","Mixed",1,"trial 8",1,-1,"Disagreement Trials",1,1
4,7,7.886111111,1,"Boy","White",1,"trial 8",1,-1,"Disagreement Trials",1,0
5,7,7.113888889,1,"Boy","White",-1,"trial 8",-1,-1,"Agreement Trials",0,0
6,7,7.738888889,1,"Boy","Asian",-1,"trial 8",1,-1,"Disagreement Trials",1,1
7,7,7.244444444,1,"Boy","White",1,"trial 8",-1,1,"Agreement Trials",0,1
8,7,7.616666667,1,"Girl","White",1,"trial 8",-1,1,"Agreement Trials",0,0
9,7,7.847222222,1,"Boy","Latinx",1,"trial 8",1,1,"Disagreement Trials",1,1
10,7,7.197222222,1,"Boy","Mixed",1,"trial 8",1,1,"Disagreement Trials",1,1
11,7,7.222222222,1,"Boy","White",-1,"trial 8",-1,1,"Agreement Trials",0,0
12,7,7.086111111,1,"Girl","Asian",-1,"trial 8",1,1,"Disagreement Trials",1,1
25,8,8.688888889,1,"Girl","Latinx",1,"trial 8",-1,-1,"Agreement Trials",0,0
26,8,8.338888889,1,"Boy","Asian",1,"trial 8",1,-1,"Disagreement Trials",1,0
27,8,8.547222222,1,"Boy","Asian",-1,"trial 8",-1,-1,"Agreement Trials",0,0
28,8,8.561111111,1,"Girl","Latinx",-1,"trial 8",-1,-1,"Agreement Trials",0,0
29,8,8.330555556,1,"Boy","White",-1,"trial 8",1,-1,"Disagreement Trials",1,1
30,8,8.341666667,1,"Boy","White",-1,"trial 8",1,-1,"Disagreement Trials",1,1
31,8,8.758333333,1,"Girl","White",1,"trial 8",-1,1,"Agreement Trials",0,0
32,8,8.358333333,1,"Boy","Mixed",1,"trial 8",-1,1,"Agreement Trials",0,0
33,8,8.844444444,1,"Boy","Asian",1,"trial 8",1,1,"Disagreement Trials",1,0
34,8,8.541666667,1,"Girl","Latinx",-1,"trial 8",-1,1,"Agreement Trials",0,0
35,8,8.577777778,1,"Boy","Mixed",-1,"trial 8",-1,1,"Agreement Trials",0,0
36,8,8.205555556,1,"Girl","White",-1,"trial 8",1,1,"Disagreement Trials",1,1
47,9,9.444444444,1,"Girl","Mixed",1,"trial 8",-1,-1,"Agreement Trials",0,0
48,9,9.561111111,1,"Boy","Mixed",1,"trial 8",-1,-1,"Agreement Trials",0,0
49,9,9.494444444,1,"Girl","Mixed",1,"trial 8",1,-1,"Disagreement Trials",1,1
50,9,9.5,1,"Girl","Asian",-1,"trial 8",-1,-1,"Agreement Trials",0,0
51,9,9.813888889,1,"Girl","Latinx",-1,"trial 8",-1,-1,"Agreement Trials",0,0
52,9,9.605555556,1,"Boy","White",-1,"trial 8",1,-1,"Disagreement Trials",1,1
53,9,9.766666667,1,"Girl","Black",1,"trial 8",-1,1,"Agreement Trials",0,0
54,9,9.275,1,"Boy","Mixed",1,"trial 8",-1,1,"Agreement Trials",0,0
55,9,9.736111111,1,"Girl","White",1,"trial 8",1,1,"Disagreement Trials",1,1
56,9,9.561111111,1,"Boy","Latinx",1,"trial 8",1,1,"Disagreement Trials",1,1
57,9,9.872222222,1,"Girl","Asian",-1,"trial 8",-1,1,"Agreement Trials",0,0
58,9,9.783333333,1,"Girl","White",-1,"trial 8",1,1,"Disagreement Trials",1,0
71,10,10.37222222,0,"Girl","Asian",1,"trial 8",-1,-1,"Agreement Trials",0,0
72,10,10.74166667,0,"Girl","Asian",1,"trial 8",1,-1,"Disagreement Trials",1,1
73,10,10.40555556,1,"Boy","Asian",-1,"trial 8",-1,-1,"Agreement Trials",0,0
74,10,10.40555556,1,"Girl","Asian",-1,"trial 8",1,-1,"Disagreement Trials",1,1
75,10,10.93888889,1,"Girl","Asian",1,"trial 8",-1,1,"Agreement Trials",0,0
76,10,10.93611111,1,"Boy","Asian",1,"trial 8",1,1,"Disagreement Trials",1,1
77,10,10.16388889,1,"Boy","Black",-1,"trial 8",-1,1,"Agreement Trials",0,1
78,10,10.19166667,1,"Boy","White",-1,"trial 8",-1,1,"Agreement Trials",0,0
79,10,10.95555556,1,"Boy","White",-1,"trial 8",1,1,"Disagreement Trials",1,1
80,10,10.18611111,1,"Boy","White",-1,"trial 8",1,1,"Disagreement Trials",1,1
91,11,11.83055556,1,"Boy","White",1,"trial 8",-1,-1,"Agreement Trials",0,0
92,11,11.13333333,1,"Boy","White",1,"trial 8",-1,-1,"Agreement Trials",0,0
93,11,11.075,1,"Girl","Asian",1,"trial 8",1,-1,"Disagreement Trials",1,1
94,11,11.01111111,1,"Boy","Asian",1,"trial 8",1,-1,"Disagreement Trials",1,1
95,11,11.16944444,1,"Girl","Latinx",-1,"trial 8",-1,-1,"Agreement Trials",0,0
96,11,11.40833333,1,"Girl","Mixed",-1,"trial 8",1,-1,"Disagreement Trials",1,1
97,11,11.57222222,1,"Girl","White",1,"trial 8",-1,1,"Agreement Trials",0,0
98,11,11.77777778,1,"Girl","Latinx",1,"trial 8",1,1,"Disagreement Trials",1,0
99,11,11.36388889,1,"Girl","Asian",-1,"trial 8",-1,1,"Agreement Trials",0,0
100,11,11.57222222,1,"Boy","Asian",-1,"trial 8",1,1,"Disagreement Trials",1,1
