"participant","age_group","age_continuous","zoom","gender","race","story_order_wagon","trial","trial_order_auau","valence_neg","condition_amb_c","condition_amb","dis_yes"
109,11,11.15833333,1,"Boy","Black",-1,"trial 4",-1,1,"Unambiguous Trials",0,0
110,11,11.66388889,1,"Boy","White",-1,"trial 4",1,1,"Ambiguous Trials",1,0
13,7,7.775,0,"Girl","Asian",1,"trial 5",-1,-1,"Unambiguous Trials",0,0
14,7,7.219444444,1,"Girl","Asian",1,"trial 5",-1,-1,"Unambiguous Trials",0,1
15,7,7.013888889,1,"Boy","Asian",1,"trial 5",1,-1,"Ambiguous Trials",1,1
16,7,7.327777778,1,"Girl","Mixed",1,"trial 5",1,-1,"Ambiguous Trials",1,1
17,7,7.25,1,"Boy","Asian",-1,"trial 5",-1,-1,"Unambiguous Trials",0,1
18,7,7.133333333,1,"Boy","White",-1,"trial 5",-1,-1,"Unambiguous Trials",0,1
19,7,7.758333333,1,"Boy","Mixed",-1,"trial 5",1,-1,"Ambiguous Trials",1,1
20,7,7.861111111,1,"Girl","Mixed",1,"trial 5",-1,1,"Unambiguous Trials",0,0
21,7,7.066666667,1,"Boy","Asian",1,"trial 5",-1,1,"Unambiguous Trials",0,1
22,7,7.586111111,1,"Girl","White",1,"trial 5",1,1,"Ambiguous Trials",1,1
23,7,7.441666667,1,"Girl","Asian",-1,"trial 5",-1,1,"Unambiguous Trials",0,0
24,7,7.961111111,1,"Girl","White",-1,"trial 5",1,1,"Ambiguous Trials",1,0
37,8,8.541666667,1,"Girl","Latinx",1,"trial 5",-1,-1,"Unambiguous Trials",0,0
38,8,8.261111111,1,"Boy","Asian",1,"trial 5",1,-1,"Ambiguous Trials",1,1
39,8,8.927777778,0,"Girl","White",1,"trial 5",-1,-1,"Unambiguous Trials",0,0
40,8,8.225,1,"Girl","White",-1,"trial 5",1,-1,"Ambiguous Trials",1,0
41,8,8.341666667,1,"Not Reported","Not reported",1,"trial 5",-1,1,"Unambiguous Trials",0,0
42,8,8.569444444,1,"Boy","Asian",1,"trial 5",1,1,"Ambiguous Trials",1,1
43,8,8.202777778,1,"Boy","Asian",-1,"trial 5",-1,-1,"Unambiguous Trials",0,0
44,8,8.455555556,1,"Girl","Asian",-1,"trial 5",-1,1,"Unambiguous Trials",0,0
45,8,8.497222222,1,"Non-binary","White",-1,"trial 5",1,1,"Ambiguous Trials",1,1
46,8,8.711111111,1,"Girl","White",-1,"trial 5",1,1,"Ambiguous Trials",1,0
59,9,9.622222222,1,"Boy","Latinx",1,"trial 5",-1,-1,"Unambiguous Trials",0,0
60,9,9.458333333,1,"Boy","Asian",1,"trial 5",1,-1,"Ambiguous Trials",1,0
61,9,9.294444444,1,"Boy","Asian",-1,"trial 5",-1,-1,"Unambiguous Trials",0,0
62,9,9.986111111,1,"Girl","Asian",-1,"trial 5",1,-1,"Ambiguous Trials",1,1
63,9,9.413888889,1,"Boy","Asian",1,"trial 5",-1,1,"Unambiguous Trials",0,0
64,9,9.736111111,1,"Girl","Asian",1,"trial 5",-1,1,"Unambiguous Trials",0,0
65,9,9.461111111,1,"Boy","White",1,"trial 5",1,1,"Ambiguous Trials",1,0
66,9,9.725,1,"Boy","White",1,"trial 5",1,1,"Ambiguous Trials",1,1
67,9,9.111111111,1,"Boy","Mixed",-1,"trial 5",-1,1,"Unambiguous Trials",0,0
68,9,9.616666667,1,"Boy","Not reported",-1,"trial 5",-1,1,"Unambiguous Trials",0,0
69,9,9.575,1,"Boy","Latinx",-1,"trial 5",1,1,"Ambiguous Trials",1,1
70,9,9.216666667,1,"Boy","Middle Eastern",-1,"trial 5",1,1,"Ambiguous Trials",1,0
81,10,10.43611111,0,"Girl","Asian",1,"trial 5",-1,-1,"Unambiguous Trials",0,0
82,10,10.01944444,0,"Girl","Latinx",1,"trial 5",1,-1,"Ambiguous Trials",1,0
83,10,10.46388889,1,"Boy","White",-1,"trial 5",-1,-1,"Unambiguous Trials",0,1
84,10,10.31944444,1,"Boy","White",-1,"trial 5",-1,-1,"Unambiguous Trials",0,0
85,10,10.91666667,1,"Girl","Latinx",-1,"trial 5",1,-1,"Ambiguous Trials",1,1
86,10,10.78333333,1,"Boy","White",-1,"trial 5",1,-1,"Ambiguous Trials",1,1
87,10,10.89166667,1,"Girl","Asian",1,"trial 5",-1,1,"Unambiguous Trials",0,0
88,10,10.23333333,1,"Boy","Mixed",1,"trial 5",1,1,"Ambiguous Trials",1,1
89,10,10.03333333,1,"Girl","Mixed",-1,"trial 5",-1,1,"Unambiguous Trials",0,1
90,10,10.68611111,1,"Girl","Asian",-1,"trial 5",1,1,"Ambiguous Trials",1,1
101,11,11.1,1,"Girl","Mixed",1,"trial 5",-1,-1,"Unambiguous Trials",0,0
102,11,11.5,1,"Girl","Latinx",1,"trial 5",-1,-1,"Unambiguous Trials",0,0
103,11,11.10555556,1,"Girl","Asian",1,"trial 5",1,-1,"Ambiguous Trials",1,1
104,11,11.94722222,1,"Girl","Mixed",1,"trial 5",1,-1,"Ambiguous Trials",1,1
105,11,11.37777778,1,"Boy","Asian",-1,"trial 5",-1,-1,"Unambiguous Trials",0,0
106,11,11.66944444,1,"Boy","Asian",-1,"trial 5",1,-1,"Ambiguous Trials",1,0
107,11,11.85277778,1,"Girl","Asian",1,"trial 5",-1,1,"Unambiguous Trials",0,0
108,11,11.28333333,1,"Girl","Asian",1,"trial 5",1,1,"Ambiguous Trials",1,1
109,11,11.15833333,1,"Boy","Black",-1,"trial 5",-1,1,"Unambiguous Trials",0,0
110,11,11.66388889,1,"Boy","White",-1,"trial 5",1,1,"Ambiguous Trials",1,0
13,7,7.775,0,"Girl","Asian",1,"trial 6",-1,-1,"Ambiguous Trials",1,0
14,7,7.219444444,1,"Girl","Asian",1,"trial 6",-1,-1,"Ambiguous Trials",1,1
15,7,7.013888889,1,"Boy","Asian",1,"trial 6",1,-1,"Unambiguous Trials",0,1
16,7,7.327777778,1,"Girl","Mixed",1,"trial 6",1,-1,"Unambiguous Trials",0,1
17,7,7.25,1,"Boy","Asian",-1,"trial 6",-1,-1,"Ambiguous Trials",1,0
18,7,7.133333333,1,"Boy","White",-1,"trial 6",-1,-1,"Ambiguous Trials",1,0
19,7,7.758333333,1,"Boy","Mixed",-1,"trial 6",1,-1,"Unambiguous Trials",0,0
20,7,7.861111111,1,"Girl","Mixed",1,"trial 6",-1,1,"Ambiguous Trials",1,1
21,7,7.066666667,1,"Boy","Asian",1,"trial 6",-1,1,"Ambiguous Trials",1,0
22,7,7.586111111,1,"Girl","White",1,"trial 6",1,1,"Unambiguous Trials",0,0
23,7,7.441666667,1,"Girl","Asian",-1,"trial 6",-1,1,"Ambiguous Trials",1,0
24,7,7.961111111,1,"Girl","White",-1,"trial 6",1,1,"Unambiguous Trials",0,0
37,8,8.541666667,1,"Girl","Latinx",1,"trial 6",-1,-1,"Ambiguous Trials",1,1
38,8,8.261111111,1,"Boy","Asian",1,"trial 6",1,-1,"Unambiguous Trials",0,1
39,8,8.927777778,0,"Girl","White",1,"trial 6",-1,-1,"Ambiguous Trials",1,0
40,8,8.225,1,"Girl","White",-1,"trial 6",1,-1,"Unambiguous Trials",0,0
41,8,8.341666667,1,"Not Reported","Not reported",1,"trial 6",-1,1,"Ambiguous Trials",1,1
42,8,8.569444444,1,"Boy","Asian",1,"trial 6",1,1,"Unambiguous Trials",0,0
43,8,8.202777778,1,"Boy","Asian",-1,"trial 6",-1,-1,"Ambiguous Trials",1,0
44,8,8.455555556,1,"Girl","Asian",-1,"trial 6",-1,1,"Ambiguous Trials",1,0
45,8,8.497222222,1,"Non-binary","White",-1,"trial 6",1,1,"Unambiguous Trials",0,0
46,8,8.711111111,1,"Girl","White",-1,"trial 6",1,1,"Unambiguous Trials",0,0
59,9,9.622222222,1,"Boy","Latinx",1,"trial 6",-1,-1,"Ambiguous Trials",1,1
60,9,9.458333333,1,"Boy","Asian",1,"trial 6",1,-1,"Unambiguous Trials",0,0
61,9,9.294444444,1,"Boy","Asian",-1,"trial 6",-1,-1,"Ambiguous Trials",1,0
62,9,9.986111111,1,"Girl","Asian",-1,"trial 6",1,-1,"Unambiguous Trials",0,1
63,9,9.413888889,1,"Boy","Asian",1,"trial 6",-1,1,"Ambiguous Trials",1,1
64,9,9.736111111,1,"Girl","Asian",1,"trial 6",-1,1,"Ambiguous Trials",1,1
65,9,9.461111111,1,"Boy","White",1,"trial 6",1,1,"Unambiguous Trials",0,1
66,9,9.725,1,"Boy","White",1,"trial 6",1,1,"Unambiguous Trials",0,0
67,9,9.111111111,1,"Boy","Mixed",-1,"trial 6",-1,1,"Ambiguous Trials",1,1
68,9,9.616666667,1,"Boy","Not reported",-1,"trial 6",-1,1,"Ambiguous Trials",1,1
69,9,9.575,1,"Boy","Latinx",-1,"trial 6",1,1,"Unambiguous Trials",0,0
70,9,9.216666667,1,"Boy","Middle Eastern",-1,"trial 6",1,1,"Unambiguous Trials",0,1
81,10,10.43611111,0,"Girl","Asian",1,"trial 6",-1,-1,"Ambiguous Trials",1,0
82,10,10.01944444,0,"Girl","Latinx",1,"trial 6",1,-1,"Unambiguous Trials",0,0
83,10,10.46388889,1,"Boy","White",-1,"trial 6",-1,-1,"Ambiguous Trials",1,0
84,10,10.31944444,1,"Boy","White",-1,"trial 6",-1,-1,"Ambiguous Trials",1,0
85,10,10.91666667,1,"Girl","Latinx",-1,"trial 6",1,-1,"Unambiguous Trials",0,0
86,10,10.78333333,1,"Boy","White",-1,"trial 6",1,-1,"Unambiguous Trials",0,0
87,10,10.89166667,1,"Girl","Asian",1,"trial 6",-1,1,"Ambiguous Trials",1,1
88,10,10.23333333,1,"Boy","Mixed",1,"trial 6",1,1,"Unambiguous Trials",0,0
89,10,10.03333333,1,"Girl","Mixed",-1,"trial 6",-1,1,"Ambiguous Trials",1,0
90,10,10.68611111,1,"Girl","Asian",-1,"trial 6",1,1,"Unambiguous Trials",0,0
101,11,11.1,1,"Girl","Mixed",1,"trial 6",-1,-1,"Ambiguous Trials",1,0
102,11,11.5,1,"Girl","Latinx",1,"trial 6",-1,-1,"Ambiguous Trials",1,1
103,11,11.10555556,1,"Girl","Asian",1,"trial 6",1,-1,"Unambiguous Trials",0,1
104,11,11.94722222,1,"Girl","Mixed",1,"trial 6",1,-1,"Unambiguous Trials",0,0
105,11,11.37777778,1,"Boy","Asian",-1,"trial 6",-1,-1,"Ambiguous Trials",1,0
106,11,11.66944444,1,"Boy","Asian",-1,"trial 6",1,-1,"Unambiguous Trials",0,1
107,11,11.85277778,1,"Girl","Asian",1,"trial 6",-1,1,"Ambiguous Trials",1,1
108,11,11.28333333,1,"Girl","Asian",1,"trial 6",1,1,"Unambiguous Trials",0,0
109,11,11.15833333,1,"Boy","Black",-1,"trial 6",-1,1,"Ambiguous Trials",1,1
110,11,11.66388889,1,"Boy","White",-1,"trial 6",1,1,"Unambiguous Trials",0,1
13,7,7.775,0,"Girl","Asian",1,"trial 7",-1,-1,"Ambiguous Trials",1,0
14,7,7.219444444,1,"Girl","Asian",1,"trial 7",-1,-1,"Ambiguous Trials",1,1
15,7,7.013888889,1,"Boy","Asian",1,"trial 7",1,-1,"Unambiguous Trials",0,1
16,7,7.327777778,1,"Girl","Mixed",1,"trial 7",1,-1,"Unambiguous Trials",0,0
17,7,7.25,1,"Boy","Asian",-1,"trial 7",-1,-1,"Ambiguous Trials",1,1
18,7,7.133333333,1,"Boy","White",-1,"trial 7",-1,-1,"Ambiguous Trials",1,1
19,7,7.758333333,1,"Boy","Mixed",-1,"trial 7",1,-1,"Unambiguous Trials",0,0
20,7,7.861111111,1,"Girl","Mixed",1,"trial 7",-1,1,"Ambiguous Trials",1,0
21,7,7.066666667,1,"Boy","Asian",1,"trial 7",-1,1,"Ambiguous Trials",1,1
22,7,7.586111111,1,"Girl","White",1,"trial 7",1,1,"Unambiguous Trials",0,0
23,7,7.441666667,1,"Girl","Asian",-1,"trial 7",-1,1,"Ambiguous Trials",1,1
24,7,7.961111111,1,"Girl","White",-1,"trial 7",1,1,"Unambiguous Trials",0,0
37,8,8.541666667,1,"Girl","Latinx",1,"trial 7",-1,-1,"Ambiguous Trials",1,0
38,8,8.261111111,1,"Boy","Asian",1,"trial 7",1,-1,"Unambiguous Trials",0,0
39,8,8.927777778,0,"Girl","White",1,"trial 7",-1,-1,"Ambiguous Trials",1,1
40,8,8.225,1,"Girl","White",-1,"trial 7",1,-1,"Unambiguous Trials",0,0
41,8,8.341666667,1,"Not Reported","Not reported",1,"trial 7",-1,1,"Ambiguous Trials",1,0
42,8,8.569444444,1,"Boy","Asian",1,"trial 7",1,1,"Unambiguous Trials",0,0
43,8,8.202777778,1,"Boy","Asian",-1,"trial 7",-1,-1,"Ambiguous Trials",1,0
44,8,8.455555556,1,"Girl","Asian",-1,"trial 7",-1,1,"Ambiguous Trials",1,1
45,8,8.497222222,1,"Non-binary","White",-1,"trial 7",1,1,"Unambiguous Trials",0,0
46,8,8.711111111,1,"Girl","White",-1,"trial 7",1,1,"Unambiguous Trials",0,0
59,9,9.622222222,1,"Boy","Latinx",1,"trial 7",-1,-1,"Ambiguous Trials",1,0
60,9,9.458333333,1,"Boy","Asian",1,"trial 7",1,-1,"Unambiguous Trials",0,0
61,9,9.294444444,1,"Boy","Asian",-1,"trial 7",-1,-1,"Ambiguous Trials",1,1
62,9,9.986111111,1,"Girl","Asian",-1,"trial 7",1,-1,"Unambiguous Trials",0,0
63,9,9.413888889,1,"Boy","Asian",1,"trial 7",-1,1,"Ambiguous Trials",1,0
64,9,9.736111111,1,"Girl","Asian",1,"trial 7",-1,1,"Ambiguous Trials",1,0
65,9,9.461111111,1,"Boy","White",1,"trial 7",1,1,"Unambiguous Trials",0,0
66,9,9.725,1,"Boy","White",1,"trial 7",1,1,"Unambiguous Trials",0,0
67,9,9.111111111,1,"Boy","Mixed",-1,"trial 7",-1,1,"Ambiguous Trials",1,1
68,9,9.616666667,1,"Boy","Not reported",-1,"trial 7",-1,1,"Ambiguous Trials",1,1
69,9,9.575,1,"Boy","Latinx",-1,"trial 7",1,1,"Unambiguous Trials",0,1
70,9,9.216666667,1,"Boy","Middle Eastern",-1,"trial 7",1,1,"Unambiguous Trials",0,1
81,10,10.43611111,0,"Girl","Asian",1,"trial 7",-1,-1,"Ambiguous Trials",1,0
82,10,10.01944444,0,"Girl","Latinx",1,"trial 7",1,-1,"Unambiguous Trials",0,0
83,10,10.46388889,1,"Boy","White",-1,"trial 7",-1,-1,"Ambiguous Trials",1,1
84,10,10.31944444,1,"Boy","White",-1,"trial 7",-1,-1,"Ambiguous Trials",1,0
85,10,10.91666667,1,"Girl","Latinx",-1,"trial 7",1,-1,"Unambiguous Trials",0,0
86,10,10.78333333,1,"Boy","White",-1,"trial 7",1,-1,"Unambiguous Trials",0,0
87,10,10.89166667,1,"Girl","Asian",1,"trial 7",-1,1,"Ambiguous Trials",1,1
88,10,10.23333333,1,"Boy","Mixed",1,"trial 7",1,1,"Unambiguous Trials",0,0
89,10,10.03333333,1,"Girl","Mixed",-1,"trial 7",-1,1,"Ambiguous Trials",1,0
90,10,10.68611111,1,"Girl","Asian",-1,"trial 7",1,1,"Unambiguous Trials",0,0
101,11,11.1,1,"Girl","Mixed",1,"trial 7",-1,-1,"Ambiguous Trials",1,0
102,11,11.5,1,"Girl","Latinx",1,"trial 7",-1,-1,"Ambiguous Trials",1,1
103,11,11.10555556,1,"Girl","Asian",1,"trial 7",1,-1,"Unambiguous Trials",0,0
104,11,11.94722222,1,"Girl","Mixed",1,"trial 7",1,-1,"Unambiguous Trials",0,0
105,11,11.37777778,1,"Boy","Asian",-1,"trial 7",-1,-1,"Ambiguous Trials",1,1
106,11,11.66944444,1,"Boy","Asian",-1,"trial 7",1,-1,"Unambiguous Trials",0,1
107,11,11.85277778,1,"Girl","Asian",1,"trial 7",-1,1,"Ambiguous Trials",1,1
108,11,11.28333333,1,"Girl","Asian",1,"trial 7",1,1,"Unambiguous Trials",0,0
109,11,11.15833333,1,"Boy","Black",-1,"trial 7",-1,1,"Ambiguous Trials",1,1
110,11,11.66388889,1,"Boy","White",-1,"trial 7",1,1,"Unambiguous Trials",0,0
13,7,7.775,0,"Girl","Asian",1,"trial 8",-1,-1,"Unambiguous Trials",0,0
14,7,7.219444444,1,"Girl","Asian",1,"trial 8",-1,-1,"Unambiguous Trials",0,0
15,7,7.013888889,1,"Boy","Asian",1,"trial 8",1,-1,"Ambiguous Trials",1,1
16,7,7.327777778,1,"Girl","Mixed",1,"trial 8",1,-1,"Ambiguous Trials",1,1
17,7,7.25,1,"Boy","Asian",-1,"trial 8",-1,-1,"Unambiguous Trials",0,0
18,7,7.133333333,1,"Boy","White",-1,"trial 8",-1,-1,"Unambiguous Trials",0,1
19,7,7.758333333,1,"Boy","Mixed",-1,"trial 8",1,-1,"Ambiguous Trials",1,0
20,7,7.861111111,1,"Girl","Mixed",1,"trial 8",-1,1,"Unambiguous Trials",0,1
21,7,7.066666667,1,"Boy","Asian",1,"trial 8",-1,1,"Unambiguous Trials",0,0
22,7,7.586111111,1,"Girl","White",1,"trial 8",1,1,"Ambiguous Trials",1,1
23,7,7.441666667,1,"Girl","Asian",-1,"trial 8",-1,1,"Unambiguous Trials",0,0
24,7,7.961111111,1,"Girl","White",-1,"trial 8",1,1,"Ambiguous Trials",1,0
37,8,8.541666667,1,"Girl","Latinx",1,"trial 8",-1,-1,"Unambiguous Trials",0,1
38,8,8.261111111,1,"Boy","Asian",1,"trial 8",1,-1,"Ambiguous Trials",1,1
39,8,8.927777778,0,"Girl","White",1,"trial 8",-1,-1,"Unambiguous Trials",0,0
40,8,8.225,1,"Girl","White",-1,"trial 8",1,-1,"Ambiguous Trials",1,1
41,8,8.341666667,1,"Not Reported","Not reported",1,"trial 8",-1,1,"Unambiguous Trials",0,0
42,8,8.569444444,1,"Boy","Asian",1,"trial 8",1,1,"Ambiguous Trials",1,0
43,8,8.202777778,1,"Boy","Asian",-1,"trial 8",-1,-1,"Unambiguous Trials",0,0
44,8,8.455555556,1,"Girl","Asian",-1,"trial 8",-1,1,"Unambiguous Trials",0,0
45,8,8.497222222,1,"Non-binary","White",-1,"trial 8",1,1,"Ambiguous Trials",1,1
46,8,8.711111111,1,"Girl","White",-1,"trial 8",1,1,"Ambiguous Trials",1,1
59,9,9.622222222,1,"Boy","Latinx",1,"trial 8",-1,-1,"Unambiguous Trials",0,1
60,9,9.458333333,1,"Boy","Asian",1,"trial 8",1,-1,"Ambiguous Trials",1,0
61,9,9.294444444,1,"Boy","Asian",-1,"trial 8",-1,-1,"Unambiguous Trials",0,0
62,9,9.986111111,1,"Girl","Asian",-1,"trial 8",1,-1,"Ambiguous Trials",1,1
63,9,9.413888889,1,"Boy","Asian",1,"trial 8",-1,1,"Unambiguous Trials",0,1
64,9,9.736111111,1,"Girl","Asian",1,"trial 8",-1,1,"Unambiguous Trials",0,0
65,9,9.461111111,1,"Boy","White",1,"trial 8",1,1,"Ambiguous Trials",1,1
66,9,9.725,1,"Boy","White",1,"trial 8",1,1,"Ambiguous Trials",1,0
67,9,9.111111111,1,"Boy","Mixed",-1,"trial 8",-1,1,"Unambiguous Trials",0,0
68,9,9.616666667,1,"Boy","Not reported",-1,"trial 8",-1,1,"Unambiguous Trials",0,0
69,9,9.575,1,"Boy","Latinx",-1,"trial 8",1,1,"Ambiguous Trials",1,1
70,9,9.216666667,1,"Boy","Middle Eastern",-1,"trial 8",1,1,"Ambiguous Trials",1,0
81,10,10.43611111,0,"Girl","Asian",1,"trial 8",-1,-1,"Unambiguous Trials",0,0
82,10,10.01944444,0,"Girl","Latinx",1,"trial 8",1,-1,"Ambiguous Trials",1,0
83,10,10.46388889,1,"Boy","White",-1,"trial 8",-1,-1,"Unambiguous Trials",0,0
84,10,10.31944444,1,"Boy","White",-1,"trial 8",-1,-1,"Unambiguous Trials",0,0
85,10,10.91666667,1,"Girl","Latinx",-1,"trial 8",1,-1,"Ambiguous Trials",1,1
86,10,10.78333333,1,"Boy","White",-1,"trial 8",1,-1,"Ambiguous Trials",1,1
87,10,10.89166667,1,"Girl","Asian",1,"trial 8",-1,1,"Unambiguous Trials",0,0
88,10,10.23333333,1,"Boy","Mixed",1,"trial 8",1,1,"Ambiguous Trials",1,1
89,10,10.03333333,1,"Girl","Mixed",-1,"trial 8",-1,1,"Unambiguous Trials",0,1
90,10,10.68611111,1,"Girl","Asian",-1,"trial 8",1,1,"Ambiguous Trials",1,1
101,11,11.1,1,"Girl","Mixed",1,"trial 8",-1,-1,"Unambiguous Trials",0,0
102,11,11.5,1,"Girl","Latinx",1,"trial 8",-1,-1,"Unambiguous Trials",0,0
103,11,11.10555556,1,"Girl","Asian",1,"trial 8",1,-1,"Ambiguous Trials",1,1
104,11,11.94722222,1,"Girl","Mixed",1,"trial 8",1,-1,"Ambiguous Trials",1,1
105,11,11.37777778,1,"Boy","Asian",-1,"trial 8",-1,-1,"Unambiguous Trials",0,0
106,11,11.66944444,1,"Boy","Asian",-1,"trial 8",1,-1,"Ambiguous Trials",1,0
107,11,11.85277778,1,"Girl","Asian",1,"trial 8",-1,1,"Unambiguous Trials",0,0
108,11,11.28333333,1,"Girl","Asian",1,"trial 8",1,1,"Ambiguous Trials",1,1
109,11,11.15833333,1,"Boy","Black",-1,"trial 8",-1,1,"Unambiguous Trials",0,0
110,11,11.66388889,1,"Boy","White",-1,"trial 8",1,1,"Ambiguous Trials",1,0
